🕘️更新时间,#genre#
2026-03-07 13:00:15,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,http://123.117.161.44:8118/rtp/239.3.1.129:8008
CCTV-1,http://111.193.239.94:8888/rtp/239.3.1.129:8008
CCTV-1,http://183.30.201.174:10002/rtp/239.77.0.86:5146
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://43.138.5.183:10001/rtp/225.1.8.2:8084
CCTV-2,http://113.120.108.132:4000/rtp/239.21.1.151:5002
CCTV-2,http://182.121.114.198:8090/rtp/225.1.4.74:1103
CCTV-2,http://111.193.239.94:8888/rtp/239.3.1.60:8084
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://183.30.201.174:10002/rtp/239.77.0.169:5146
CCTV-3,http://182.121.114.198:8090/rtp/225.1.4.158:1194
CCTV-3,http://111.193.239.94:8888/rtp/239.3.1.172:8001
CCTV-3,http://114.243.168.34:8888/rtp/239.3.1.172:8001
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4,http://182.121.114.198:8090/rtp/225.1.5.30:1333
CCTV-4,http://115.171.216.84:4000/rtp/225.1.8.4:8092
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5+,http://123.117.161.44:8118/rtp/239.3.1.130:8004
CCTV-5+,http://114.243.168.34:8888/rtp/239.3.1.130:8004
CCTV-5+,http://27.9.167.79:8000/rtp/225.0.4.73:7980
CCTV-5+,http://43.138.5.183:10001/rtp/225.1.8.20:8004
CCTV-5+,http://180.119.69.98:8800/rtp/239.49.8.18:9610
CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://111.193.239.94:8888/rtp/239.3.1.174:8001
CCTV-6,http://183.30.201.174:10002/rtp/239.77.0.171:5146
CCTV-6,http://114.243.168.34:8888/rtp/239.3.1.174:8001
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-7,http://113.120.108.132:4000/rtp/239.21.1.152:5002
CCTV-7,http://123.117.161.44:8118/rtp/239.3.1.61:8104
